date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:43	394472/394472	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Aug%202022%2011:20:44%20GMT	https://mankirat1116be21.wixsite.com/mankirat-s-portfolio	C:/My%20Web%20Sites/portfolio/mankirat1116be21.wixsite.com/mankirat-s-portfolio.html	(from )
16:50:44	322/322	---M--	200	added ('OK')	text/plain	date:Sat,%2027%20Aug%202022%2011:20:44%20GMT	https://mankirat1116be21.wixsite.com/robots.txt		(from )
16:50:44	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:44	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:45	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2024%20Aug%202022%2004:56:29%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/portfolio/polyfill.io/v3/polyfill.mind82c.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:45	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/portfolio/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:45	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Aug%202022%2011:20:46%20GMT	https://mankirat1116be21.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/portfolio/mankirat1116be21.wixsite.com/decodeURIComponent(e	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Aug%202022%2011:20:47%20GMT	https://mankirat1116be21.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/portfolio/mankirat1116be21.wixsite.com/sitemap.xml	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Aug%202022%2011:20:47%20GMT	https://mankirat1116be21.wixsite.com/feed.xml	C:/My%20Web%20Sites/portfolio/mankirat1116be21.wixsite.com/feed.xml	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:46	177922/177922	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bd18c63844a7b2ef839f0c2bb90d640a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.e8c24315.bundle.min.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.e8c24315.bundle.min.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:46	186141/186141	---M-Z	200	added ('OK')	application/javascript	etag:W/%2289aa72d04fba63bfaf4cc2f7719803f0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.ac0ff030.bundle.min.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/services/wix-thunderbolt/dist/main.ac0ff030.bundle.min.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:46	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
16:50:47	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://mankirat1116be21.wixsite.com/mankirat-s-portfolio)
